NomorFaktur,Produk,Status
240228QHY73V5X,"B. Reg Blueberry 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Green Tea 1Kg , B. Reg Taro 1Kg , B. Reg Thai Tea 1Kg , B. Reg Es Permen Karet 1Kg",Belum Lunas
240228QKQR8UCF,Javaland Syrup Caramel Signature,Belum Lunas
576661856779929294,"B. Reg Blueberry 1Kg , B. Reg Black Choco / Owreo 1Kg , B. Reg Mango 1Kg , B. Reg Avocado 500Gr , B. Reg Vanilla White 500Gr",Belum Lunas
INV/20240227/MPL/3762172673,LEMON TEA 1kg,Belum Lunas
INV/20240227/MPL/3762479433,B. Prem Green Tea  1Kg,Belum Lunas
INV/20240227/MPL/3762537279,Creamer Super Premium 1Kg,Belum Lunas
INV/20240227/MPL/3762649478,"B. Prem Chocolate  1Kg , B. Prem Green Tea  1Kg , B. Prem Strawberry  1Kg , B. Prem Taro  1Kg , B. Reg Bubble Gum 1Kg , B. Reg Lychee 1Kg",Belum Lunas
INV/20240227/MPL/3762744393,Creamer Super Premium 1Kg,Belum Lunas
INV/20240228/MPL/3763129339,"Kopi Instant 500Gr , Creamer Premium 1Kg",Belum Lunas
INV/20240228/MPL/3763305311,"B. Prem Green Tea  1Kg , Coklat Murni 1Kg (Pure Chocolate)",Belum Lunas
INV/20240228/MPL/3763396026,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
INV/20240228/MPL/3763441280,Creamer Premium 1Kg,Belum Lunas
INV/20240228/MPL/3763779080,"B. Prem Chocolate  1Kg , B. Reg Strawberry 1Kg",Belum Lunas
INV/20240228/MPL/3763906795,"B. Reg Avocado 1Kg , B. Reg Lychee 1Kg , Creamer Super Premium 1Kg , Gula Aren Cair 500Ml , Gula Cair @1Kg , Jerigen Gula Kosong 5Kg",Belum Lunas
240227MTADXJMV,B. Reg Milk Tea 1Kg,Belum Lunas
240227MU6K6BFC,B. Reg Choco Royal 1Kg,Belum Lunas
240227MWGH84BC,B. Reg Cappucino 1Kg,Belum Lunas
240227MWS4UQ6T,"B. Reg Cappucino 1Kg , B. Reg Lychee 1Kg , KONYAKU JELLY 1kg",Belum Lunas
240227MYGGSQ3D,"B. Reg Tiramisu 1Kg , B. Reg Vanilla Latte 1Kg , Black Biscuit Crumb 1Kg",Belum Lunas
240227N2U6XUWU,"B. Reg Coffee Caramel 1Kg , LYCHEE TEA 1kg",Belum Lunas
240227N4827FMS,CHEESE CREAM 1kg,Belum Lunas
240227N4PRDE06,"B. Prem Chocolate  1Kg , B. Prem Taro  1Kg",Belum Lunas
240227N66DA65S,"B. Reg Red Velvet 1Kg , B. Reg Taro 1Kg",Belum Lunas
240227N718HX8X,B. Reg Bubble Gum 1Kg,Belum Lunas
240227NA3FW75A,"B. Super Swiss Choco 1Kg , Bubble Wrap",Belum Lunas
240227NA4WPSU5,B. Reg Mango 1Kg,Belum Lunas
240227NA7PA78C,"B. Reg Avocado 1Kg , B. Reg Cappucino 1Kg , B. Reg Choco Royal 1Kg , B. Reg Choco Silverking 1Kg , B. Reg Mango 1Kg , B. Reg Red Velvet 1Kg , B. Reg Strawberry 1Kg , B. Reg Vanilla Latte 1Kg",Belum Lunas
240227NDVCWAEY,Bubuk Taro Mix Sugar 1Kg,Belum Lunas
240227NEWS0GUF,B. Prem Chocolate  1Kg,Belum Lunas
240227NFYBVBRB,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240227NH27NGJT,B. Super Dark Chocolate 1Kg,Belum Lunas
240227NH86D397,B. Reg Green Tea 1Kg,Belum Lunas
240227NHDWEB7V,Bubuk Cappucino Mix Sugar 1Kg,Belum Lunas
240227NHPWEVNN,B. Reg Red Velvet 1Kg,Belum Lunas
240227NHTA6WC3,B. Reg Vanilla Latte 1Kg,Belum Lunas
240227NHUQ09PP,B. Reg Bubble Gum 1Kg,Belum Lunas
240227NKSD4MXT,"B. Reg Green Tea 1Kg , B. Reg Thai Tea 1Kg",Belum Lunas
240227NN3XXETA,"B. Reg Cappucino 1Kg , B. Reg Taro 1Kg",Belum Lunas
240228NTJQAGTT,Black Biscuit Crumb 1Kg,Belum Lunas
240228NVEBMJUY,"Bubuk Green Tea Mix Sugar 1Kg , B. Reg Avocado 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Grape 1Kg , B. Reg Mango 1Kg , B. Reg Melon 1Kg , B. Reg Red Velvet 1Kg , B. Reg Strawberry 1Kg , B. Reg Thai Tea 1Kg , B. Reg Tiramisu 1Kg , B. Super Dark Chocolate 1Kg , LEMON TEA 1kg , LYCHEE TEA 1kg",Belum Lunas
240228P45WT23F,LYCHEE TEA 1kg,Belum Lunas
240228P46V9QDN,B. Reg Choco Royal 1Kg,Belum Lunas
240228P481J0NU,B. Reg Taro 1Kg,Belum Lunas
240228PN69K3PY,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240228PNJDSE5U,B. Reg Cappucino 1Kg,Belum Lunas
240228PP2EUEH9,B. Reg Tiramisu 1Kg,Belum Lunas
240228PPJUBKCN,B. Reg Choco Royal 1Kg,Belum Lunas
240228PPN0Y8M1,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240228Q0G1AWSU,Javaland Syrup Wildmint,Belum Lunas
240228Q59NGGJR,"B. Reg Choco Sport / Milo 1Kg , B. Super Dark Chocolate 1Kg",Belum Lunas
INV/20240227/MPL/3762647275,B. Prem Red Velvet  1Kg,Belum Lunas
INV/20240228/MPL/3763177513,"B. Reg Cappucino 1Kg , B. Reg Black Choco / Owreo 1Kg , B. Reg Choco Silverking 1Kg , B. Reg Red Velvet 1Kg , B. Reg Taro 1Kg",Belum Lunas
240226J92CHKRS,"B. Reg Durian 1Kg , B. Reg Grape 1Kg , B. Reg Melon 1Kg",Belum Lunas
240227MCFR3K1U,B. Reg Taro 1Kg,Belum Lunas
240227MCV5R8WE,B. Super Dark Chocolate 1Kg,Belum Lunas
240227MF0Q60SX,"B. Prem Chocolate  1Kg , Creamer Super Premium 1Kg",Belum Lunas
240227MHTW1RNB,B. Prem Chocolate  1Kg,Belum Lunas
240227MJ167SG2,B. Prem Chocolate  1Kg,Belum Lunas
240227MJB9GTG4,"LEMON TEA 1kg , LYCHEE TEA 1kg , MANGO TEA 1kg , STRAWBERRY TEA 1kg",Belum Lunas
240227MKP9Q9SF,"B. Reg Choco Sport / Milo 1Kg , B. Reg Choco Silverking 1Kg , B. Reg Durian 1Kg , Bubble Wrap",Belum Lunas
240227MNMWDFUU,B. Reg Avocado 1Kg,Belum Lunas
240227MNT2CEYR,"Ice Cream Powder Vanilla 1Kg , Bubble Wrap",Belum Lunas
240227MNWXC3KK,"B. Reg Bubble Gum 1Kg , B. Reg Choco Caramel 1Kg , B. Reg Green Tea 1Kg , B. Reg Red Velvet 1Kg , B. Reg Taro 1Kg , B. Reg Vanilla White 1Kg , LEMON TEA 1kg , LYCHEE TEA 1kg , STRAWBERRY TEA 1kg",Belum Lunas
240227MPPH3801,B. Prem Chocolate  1Kg,Belum Lunas
240227MPRMUM35,"B. Prem Chocolate  1Kg , B. Prem Vanilla White  1Kg",Belum Lunas
240227MQ82T6GH,B. Reg Cappucino 1Kg,Belum Lunas
240227MR33SN58,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240227MT81MMPW,B. Reg Cappucino 1Kg,Belum Lunas
240227MUNF2HJ8,"Javaland Syrup Salted Caramel 100ml , Javaland Syrup Vanilla 100ml",Belum Lunas
240227MXKW9N9R,B. Reg Melon 1Kg,Belum Lunas
240227MXXW74N9,"B. Reg Choco Sport / Milo 1Kg , B. Reg Lychee 1Kg , B. Reg Mango 1Kg , B. Reg Melon 1Kg , Black Biscuit Crumb 1Kg",Belum Lunas
240227N1A91H1A,"B. Reg Choco Caramel 1Kg , B. Reg Hazelnut 1Kg , B. Reg Taro 1Kg",Belum Lunas
240227N1SR02D2,"Bubuk Cappucino Mix Sugar 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Strawberry 1Kg , B. Reg Taro 1Kg , B. Super Dark Chocolate 1Kg , LEMON TEA 1kg",Belum Lunas
240227N2APK5RT,"B. Reg Avocado 1Kg , B. Reg Choco Sport / Milo 1Kg , B. Reg Black Choco / Owreo 1Kg , B. Reg Green Tea 1Kg",Belum Lunas
240227N2KEXXQC,LEMON TEA 1kg,Belum Lunas
240227N3VG6PAJ,B. Reg Cappucino 1Kg,Belum Lunas
240227N55N7NKB,B. Reg Avocado 1Kg,Belum Lunas
240227N7YXTAAM,B. Reg Cappucino 1Kg,Belum Lunas
240227NBM2CF5A,B. Reg Thai Tea 1Kg,Belum Lunas
240227NBTXNYPF,LYCHEE TEA 1kg,Belum Lunas
240227NBWDTYE9,LEMON TEA 1kg,Belum Lunas
240227NDMXHD5A,"B. Reg Taro 1Kg , B. Super Coffee 1Kg , B. Super Swiss Choco 1Kg",Belum Lunas
240227NEFTR6N3,"B. Reg Avocado 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Green Tea 1Kg",Belum Lunas
240227NH5KBXBW,"B. Reg Cappucino 1Kg , B. Reg Choco Sport / Milo 1Kg",Belum Lunas
